year_month,PesoNetoArticulo,SuperficieCultivableFinca,CodigoCultivo,ndvi_mean,SPEI_1,precipitation,radiation,tmed,tmax,tmin,relative_humidity,velmedia,racha
2019-01,203560,653865,282,0.500258,-0.8656528557388993,0.5767741935483871,10.296451612903226,8.511935483870968,15.65516129032258,3.3567741935483872,76.06387096774193,2.048387096774193,3.3932258064516128
2019-12,240726,653865,282,0.5399281,0.2490976426076216,2.6941935483870965,8.007741935483871,11.71,18.006774193548388,7.240967741935484,79.8483870967742,2.499032258064516,4.0767741935483865
2020-01,380460,653865,282,0.4501071,0.4744017556896837,1.8661290322580648,8.78032258064516,9.471612903225807,15.65516129032258,5.050967741935484,82.24612903225807,1.810967741935484,3.0851612903225805
2020-02,111780,653865,282,0.46806285,-1.184735926835877,0.0262068965517241,13.743103448275862,13.153793103448276,20.87,7.289655172413793,76.7496551724138,1.5524137931034483,2.760689655172414
2020-11,152880,653865,282,0.53359115,1.0227946012621931,2.9003333333333337,9.575333333333331,15.406,21.776333333333334,10.916,77.68566666666668,1.842,3.198
2020-12,426956,653865,282,0.8104331,-0.7477230795803061,0.9125806451612904,7.674838709677419,10.218709677419357,16.03451612903226,6.067096774193549,82.53967741935485,2.27741935483871,3.690967741935484
2021-01,73200,653865,282,0.82405496,1.2500376302632752,2.7987096774193545,8.794516129032258,8.171290322580646,14.534193548387098,3.624516129032258,82.33193548387096,2.4506451612903226,3.9883870967741935
2021-02,10800,653865,282,0.8114936,1.0363900269212634,1.485,11.09142857142857,11.860357142857142,17.961071428571426,7.238928571428572,82.08678571428571,2.2832142857142856,3.876785714285714
2021-03,18140,653865,282,0.4739696,-0.8347405904771467,0.6045161290322582,17.958064516129035,13.644516129032258,20.846129032258062,7.512903225806451,67.1690322580645,1.98483870967742,3.423225806451613
2022-01,413010,653865,282,0.49362057,-1.467332182697057,0.0783870967741935,10.585806451612903,9.596774193548388,17.518709677419356,4.429677419354839,73.9416129032258,2.051290322580645,3.3722580645161293
2022-02,350580,653865,282,0.30464324,-0.9876097821528196,0.1960714285714286,13.598214285714286,12.499285714285715,20.513571428571428,6.712142857142857,68.54321428571428,1.672857142857143,2.9964285714285714
2022-03,106220,653865,282,0.29116088,0.6005525701266262,3.905806451612903,12.714193548387096,12.93516129032258,18.846451612903227,8.088387096774193,74.97387096774193,2.2661290322580645,3.917096774193548
2022-11,117530,653865,282,0.26852962,-0.8537310753549002,0.8533333333333333,9.904666666666666,15.227,22.147666666666662,10.264,71.61,2.0776666666666666,3.753
2022-12,253880,653865,282,0.32615173,1.5642714225528238,4.658387096774193,7.669032258064516,13.282903225806452,18.898709677419355,9.12774193548387,82.45967741935483,2.245483870967742,3.803548387096774
2023-01,221080,653865,282,0.31596375,-0.678257295464639,0.7612903225806451,10.084516129032258,9.06032258064516,15.930967741935484,4.196774193548387,77.83387096774193,2.2461290322580645,3.584838709677419
2023-02,214900,653865,282,0.27895042,-0.2231034353704991,0.6042857142857142,13.149285714285714,10.4425,17.824285714285715,5.165357142857142,70.86749999999999,2.0742857142857143,3.5117857142857143
2023-11,86440,653865,282,,,,,,,,,,
2023-12,320800,653865,282,,,,,,,,,,
2024-01,336180,653865,282,0.29999506,-0.0714294435200417,1.4612903225806453,9.225483870967745,11.326451612903226,17.93354838709677,6.704193548387098,80.11548387096774,1.9458064516129032,3.305483870967742
2024-04,55140,653865,282,0.34828654,-0.8614223405645468,0.3106666666666667,22.68733333333333,16.88533333333333,24.292666666666666,9.853666666666667,67.26866666666666,2.0196666666666667,3.412333333333333
